Country of Origin,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Region
Ireland,0,30,27,29,44,44,33,26,39,36,34,51,55,42,40,43,63,48,47,56,75,83,91,103,99,130,116,103,104,149,131,114,138,228,252,362,366,440,368,403,516,483,648,709,704,796,829,947,1039,1068,1295,Europe
Isle Of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,16,20,10,14,Europe
Israel,94,86,64,73,87,90,120,143,155,165,158,175,206,202,235,253,317,316,307,376,377,427,503,490,624,608,633,780,803,1040,1072,1042,1198,1442,2009,2509,2710,2645,2539,2693,3157,3657,4410,4550,4727,5149,5436,6455,7237,7352,7882,Middle East
Italy,811,849,866,960,1031,1105,1160,1162,1128,1192,1164,1230,1224,1328,1480,1501,1384,1500,1411,1636,1628,1799,1822,1943,1964,2093,2123,2288,1906,1998,2128,2062,2119,2313,2577,2704,2967,2980,3011,2997,2993,3274,3376,3805,3940,4156,4282,4516,4580,4764,4839,Europe
Ivory Coast (Cote D'Ivoire),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa
Jamaica,0,2,4,4,4,1,0,0,1,4,3,1,6,4,1,1,0,2,2,2,3,2,0,1,0,0,3,1,3,1,3,3,0,4,4,2,1,2,4,4,4,3,5,12,10,5,5,14,9,10,14,Caribbean
Japan,2263,2479,3354,4051,5430,6093,7418,6831,8565,9163,8566,9365,9674,10189,11185,12951,14009,16068,15998,18473,21431,22895,24516,28357,31791,34113,36846,38633,34816,37768,39872,39510,41767,45260,47821,52891,61238,58739,60350,64812,71994,76839,78794,82396,81982,84017,85184,88686,84967,86691,86359,Asia
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,5,13,6,11,14,Europe
Jordan,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,1,0,2,2,3,0,0,2,4,4,0,2,4,1,5,2,5,6,2,11,15,5,12,7,14,20,24,19,26,Middle East
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,4,3,1,1,3,2,4,1,2,1,4,7,4,8,11,9,14,Asia
